Tests
############################################################################################## Test 1 ##############################################################################################
Historical performance | 2025-06-02 -> 2025-09-30
Date           Recs   Wins  Losses  Skipped  Accuracy%   AvgRet%    Invested         PnL
2025-04-07        1      1       0     1982    100.00%     0.29%        3.08        0.01
2025-04-08        5      3       2     1923     60.00%     0.34%       23.79        0.08
2025-04-09        5      2       3     1942     40.00%    -0.42%       23.37       -0.09
2025-04-10        5      1       4     1940     20.00%    -0.51%       22.78       -0.11
2025-04-11        5      3       2     1926     60.00%     0.23%       23.87        0.06
2025-04-14        5      1       4     1894     20.00%    -0.56%       24.05       -0.12
2025-04-15        5      4       1     1914     80.00%     0.57%       24.23        0.14
2025-04-16        5      0       5     1914      0.00%    -0.96%       23.77       -0.23
2025-04-17        5      5       0     1912    100.00%     1.25%       24.22        0.31
2025-04-18        5      5       0     1912    100.00%     1.25%       24.22        0.31
2025-04-21        5      5       0     1912    100.00%     1.25%       24.22        0.31
2025-04-22        5      1       4     1909     20.00%    -2.47%       23.77       -0.57
2025-04-23        5      1       4     1852     20.00%    -0.41%       24.23       -0.09
2025-04-24        5      3       2     1871     60.00%     0.52%       24.23        0.13
2025-04-25        5      3       2     1871     60.00%     0.52%       24.23        0.13
2025-04-28        5      3       2     1876     60.00%    -0.79%       23.91       -0.19
2025-04-29        5      3       2     1879     60.00%     0.39%       24.37        0.10
2025-04-30        5      3       2     1873     60.00%    -0.00%       24.20        0.00
2025-05-01        5      3       2     1882     60.00%     0.05%       24.17        0.02
2025-05-02        5      2       3     1874     40.00%    -1.70%       24.16       -0.41
2025-05-05        5      3       2     1949     60.00%    -1.26%       23.77       -0.31
2025-05-06        5      3       2     1899     60.00%     0.43%       23.97        0.10
2025-05-07        5      2       3     1892     40.00%    -1.23%       24.26       -0.30
2025-05-08        5      2       3     1876     40.00%    -1.66%       24.11       -0.38
2025-05-09        5      2       3     1863     40.00%     0.60%       24.31        0.14
2025-05-12        5      2       3     1889     40.00%    -1.11%       24.11       -0.27
2025-05-13        5      3       2     1901     60.00%     0.06%       24.21        0.01
2025-05-14        5      4       1     1910     80.00%     0.81%       24.36        0.19
2025-05-15        5      2       3     1899     40.00%     0.13%       24.20        0.03
2025-05-16        5      1       4     1859     20.00%    -1.18%       24.15       -0.28
2025-05-19        5      1       4     1933     20.00%    -0.52%       23.86       -0.11
2025-05-20        5      4       1     1866     80.00%     0.25%       24.20        0.07
2025-05-21        5      2       3     1944     40.00%    -0.57%       23.40       -0.14
2025-05-22        5      5       0     1892    100.00%     1.13%       24.30        0.28
2025-05-23        5      4       1     1897     80.00%     0.96%       24.24        0.24
2025-05-26        5      0       5     1922      0.00%    -0.77%       24.10       -0.19
2025-05-27        5      3       2     1883     60.00%    -0.02%       24.20       -0.01
2025-05-28        5      2       3     1885     40.00%    -1.25%       24.28       -0.30
2025-05-29        5      4       1     1916     80.00%     0.87%       24.25        0.21
2025-05-30        5      4       1     1887     80.00%     1.15%       24.15        0.27
2025-06-02        5      0       5     1904      0.00%    -2.63%       23.81       -0.64
2025-06-03        5      2       3     1856     40.00%    -1.10%       24.20       -0.26
2025-06-04        5      4       1     1876     80.00%     0.55%       24.23        0.13
2025-06-05        5      1       4     1911     20.00%    -0.65%       23.92       -0.16
2025-06-06        5      2       3     1919     40.00%    -0.87%       23.99       -0.21
2025-06-09        5      2       3     1919     40.00%    -0.87%       23.99       -0.21
2025-06-10        5      4       1     1864     80.00%     0.72%       24.38        0.18
2025-06-11        5      1       4     1886     20.00%    -0.56%       24.09       -0.13
2025-06-12        5      3       2     1910     60.00%     0.32%       24.18        0.08
2025-06-13        5      3       2     1941     60.00%    -0.15%       23.36       -0.04
2025-06-16        5      4       1     1910     80.00%     0.84%       24.29        0.21
2025-06-17        5      4       1     1898     80.00%     0.59%       24.28        0.15
2025-06-18        5      4       1     1906     80.00%     0.49%       24.11        0.12
2025-06-19        5      2       3     1927     40.00%    -0.22%       24.17       -0.06
2025-06-20        5      3       2     1917     60.00%     0.44%       24.35        0.10
2025-06-24        5      4       1     1899     80.00%     0.81%       24.10        0.20
2025-06-25        5      2       3     1918     40.00%     0.13%       23.94        0.03
2025-06-26        5      3       2     1890     60.00%    -0.20%       24.16       -0.04
2025-06-27        5      3       2     1886     60.00%     0.65%       24.11        0.16
2025-06-30        5      1       4     1892     20.00%    -0.33%       24.25       -0.08
2025-07-01        5      1       4     1885     20.00%    -0.72%       23.77       -0.17
2025-07-02        5      3       2     1874     60.00%     0.19%       24.12        0.04
2025-07-03        5      4       1     1904     80.00%     1.57%       24.18        0.38
2025-07-04        5      3       2     1908     60.00%     0.02%       24.03        0.01
2025-07-07        5      0       5     1936      0.00%    -1.24%       23.75       -0.29
2025-07-08        5      5       0     1927    100.00%     0.94%       24.21        0.23
2025-07-09        5      4       1     1904     80.00%     0.79%       24.06        0.19
2025-07-10        5      4       1     1871     80.00%     0.79%       24.32        0.19
2025-07-11        5      3       2     1936     60.00%    -0.03%       23.86        0.00
2025-07-14        5      2       3     1901     40.00%    -0.51%       24.10       -0.12
2025-07-15        5      4       1     1915     80.00%     0.24%       24.08        0.06
2025-07-16        5      4       1     1906     80.00%     0.98%       24.38        0.25
2025-07-17        5      4       1     1842     80.00%     0.83%       24.32        0.20
2025-07-18        5      3       2     1853     60.00%    -0.04%       24.40       -0.01
2025-07-21        5      3       2     1936     60.00%     0.24%       23.98        0.06
2025-07-22        5      3       2     1888     60.00%     0.42%       24.22        0.10
2025-07-23        5      3       2     1863     60.00%     1.05%       24.28        0.26
2025-07-24        5      4       1     1918     80.00%     0.86%       24.25        0.21
2025-07-25        5      1       4     1910     20.00%    -0.18%       24.22       -0.04
2025-07-28        5      2       3     1877     40.00%    -0.04%       24.31       -0.01
2025-07-29        5      3       2     1895     60.00%    -0.18%       24.06       -0.05
2025-07-30        5      4       1     1869     80.00%     0.80%       24.17        0.20
2025-07-31        5      3       2     1894     60.00%     0.42%       24.25        0.11
2025-08-01        5      3       2     1936     60.00%    -0.08%       23.43       -0.01
2025-08-04        5      4       1     1867     80.00%    -0.09%       24.08       -0.02
2025-08-05        5      1       4     1829     20.00%    -0.28%       24.34       -0.06
2025-08-06        5      5       0     1856    100.00%     1.38%       24.39        0.33
2025-08-07        5      4       1     1868     80.00%     0.64%       24.29        0.15
2025-08-08        5      2       3     1886     40.00%    -0.11%       24.19       -0.02
2025-08-11        5      4       1     1882     80.00%     0.77%       24.23        0.18
2025-08-12        5      3       2     1849     60.00%     0.09%       24.09        0.02
2025-08-13        5      4       1     1877     80.00%     0.65%       24.09        0.16
2025-08-14        5      4       1     1879     80.00%     0.78%       24.37        0.19
2025-08-15        5      5       0     1879    100.00%     1.29%       24.33        0.31
2025-08-18        5      5       0     1890    100.00%     0.83%       24.28        0.20
2025-08-19        5      5       0     1878    100.00%     0.90%       24.17        0.22
2025-08-20        5      3       2     1901     60.00%    -0.11%       23.97       -0.02
2025-08-21        5      3       2     1884     60.00%     0.03%       24.25        0.00
2025-08-22        5      3       2     1901     60.00%     0.56%       24.23        0.14
2025-08-25        5      4       1     1888     80.00%     1.20%       24.17        0.28
2025-08-26        5      3       2     1925     60.00%     0.60%       24.34        0.15
2025-08-27        5      4       1     1901     80.00%     0.41%       24.19        0.10
2025-08-28        5      2       3     1940     40.00%    -0.15%       23.60       -0.03
2025-08-29        5      4       1     1905     80.00%     0.47%       23.95        0.11
2025-09-01        5      4       1     1931     80.00%     0.87%       24.06        0.21
2025-09-02        5      5       0     1929    100.00%     1.19%       24.15        0.29
2025-09-03        5      3       2     1946     60.00%     0.90%       23.65        0.22
2025-09-04        5      4       1     1846     80.00%     1.20%       24.28        0.30
2025-09-05        5      5       0     1888    100.00%     1.05%       24.14        0.26
2025-09-08        5      4       1     1916     80.00%     0.75%       23.98        0.18
2025-09-09        5      3       2     1917     60.00%     0.23%       23.61        0.06
2025-09-10        5      5       0     1903    100.00%     1.11%       24.18        0.27
2025-09-11        5      4       1     1888     80.00%     0.76%       24.35        0.19
2025-09-12        5      5       0     1906    100.00%     1.19%       24.00        0.29
2025-09-15        5      5       0     1895    100.00%     1.25%       24.04        0.30
2025-09-16        5      5       0     1891    100.00%     1.15%       24.24        0.28
2025-09-17        5      5       0     1921    100.00%     1.14%       24.29        0.28
2025-09-18        5      5       0     1880    100.00%     1.14%       24.32        0.28
2025-09-19        5      3       2     1925     60.00%     0.67%       23.92        0.16
2025-09-22        5      4       1     1925     80.00%     1.08%       24.02        0.26
2025-09-23        5      5       0     1916    100.00%     1.10%       24.22        0.27
2025-09-24        5      5       0     1938    100.00%     1.00%       24.20        0.24
2025-09-25        5      5       0     1923    100.00%     1.48%       24.29        0.36
2025-09-26        5      4       1     1895     80.00%     1.23%       24.28        0.29
2025-09-29        5      4       1     1900     80.00%     0.98%       23.97        0.24
2025-09-30        5      5       0     1907    100.00%     0.86%       24.28        0.21

Totals | Considered: 45616 | Recommended: 651 | Wins: 413 | Losses: 238 | Skipped: 248926 | Accuracy: 63.44% | Avg Return: 0.25% | Total Return: 163.37% | Invested: 3132.45 | PnL: 8.22 | ROI: 0.26%
